yy,mm,dd,hh,mm_2,wdir,wspd,gst,x9,wvht,x11,x12,dpd,x14,x15,apd,mwd,x18,x19,pres,x21,atmp,x23,wtmp,x25,dewp,x27,vis,x29,tide
2024,01,01,00,18,NA,60,NA,2.1,99,99,99,99,999,1018.6,NA,13.5,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,01,18,NA,80,NA,1,99,99,99,99,999,1018.6,NA,13.5,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,02,18,100,NA,1.5,99,99,99,99,999,1018.9,NA,13.7,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,03,18,NA,80,NA,1.5,99,99,99,99,999,1019.2,NA,13.8,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,04,18,NA,60,NA,1.5,99,99,99,99,999,1019.2,NA,13.8,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,05,18,350,NA,4.1,99,99,99,99,999,1019.4,NA,13.7,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,06,18,NA,20,NA,4.1,99,99,99,99,999,1019.3,NA,13.1,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,07,18,NA,30,NA,4.1,99,99,99,99,999,1019.6,NA,13,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,08,18,NA,60,NA,2.6,99,99,99,99,999,1019.5,NA,12.9,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,09,18,NA,70,NA,4.1,99,99,99,99,999,1019.7,NA,12.7,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,10,18,NA,70,NA,4.6,99,99,99,99,999,1020.1,NA,12.6,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,11,18,NA,40,NA,3.6,99,99,99,99,999,1020.1,NA,12.2,NA,14.4,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,12,18,NA,30,NA,2.6,99,99,99,99,999,1020.1,NA,12.2,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,13,18,NA,60,NA,4.6,99,99,99,99,999,1020.1,NA,12.1,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,14,18,NA,90,NA,6.2,99,99,99,99,999,1020.5,NA,12,NA,14.4,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,15,18,NA,80,NA,5.7,99,99,99,99,999,1021,NA,11.8,NA,14.4,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,16,18,NA,80,NA,6.7,99,99,99,99,999,1021.4,NA,11.5,NA,14.4,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,17,18,NA,70,NA,7.2,99,99,99,99,999,1022.2,NA,11.2,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,18,18,NA,70,NA,3.1,99,99,99,99,999,1023.1,NA,11.2,NA,14.4,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,19,18,NA,20,NA,3.6,99,99,99,99,999,1022.8,NA,11.9,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,20,18,NA,50,NA,5.1,99,99,99,99,999,1021.4,NA,12.9,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
2024,01,01,21,18,NA,30,NA,3.1,99,99,99,99,999,1020.9,NA,13.8,NA,14.5,999,99,99,NA,NA,NA,NA,NA,NA,NA,NA
